frame_num,face_id,x_min,y_min,x_max,y_max,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,yaw,pitch,roll,label
48.0,6.0,1546.0,534.0,1716.0,707.0,1606.85,618.19,1635.42,622.75,1611.61,638.03,1605.14,652.72,1628.14,655.63,39.21424865722656,-2.794624328613281,5.752609252929688,0.0
49.0,6.0,1546.0,534.0,1716.0,707.0,1606.09,618.26,1634.53,622.11,1610.87,637.76,1605.0,653.0,1627.82,655.34,40.143463134765625,-2.1921157836914062,5.711906433105469,0.0
50.0,7.0,1545.0,534.0,1714.0,707.0,1604.36,618.24,1632.58,621.48,1609.31,637.76,1604.27,653.75,1626.63,655.6,41.36505126953125,-3.604690551757813,4.314445495605469,0.0
51.0,6.0,1544.0,534.0,1713.0,709.0,1602.96,618.32,1630.82,621.23,1607.97,638.19,1603.57,654.4,1626.14,655.99,43.07012939453125,-3.497352600097656,2.7134552001953125,0.0
52.0,6.0,1542.0,533.0,1712.0,709.0,1601.58,618.33,1628.89,621.31,1606.1,638.46,1602.6,654.57,1624.89,656.15,43.79779052734375,-2.920623779296875,1.5501480102539062,0.0
53.0,7.0,1541.0,533.0,1711.0,709.0,1600.56,618.5,1627.25,621.22,1604.72,638.26,1602.05,654.68,1623.73,656.02,41.995208740234375,-2.7979888916015625,2.3720703125,0.0
54.0,7.0,1542.0,534.0,1710.0,710.0,1600.91,619.14,1626.49,621.53,1603.81,638.65,1602.99,654.97,1623.41,656.23,42.90280151367188,-2.0665283203125,2.8058319091796875,0.0
55.0,5.0,1542.0,534.0,1710.0,709.0,1600.4,619.54,1625.4,621.45,1602.82,638.29,1602.72,655.19,1622.5,656.06,43.22769165039063,-2.9363021850585938,0.5270462036132812,0.0
56.0,2.0,1541.0,534.0,1709.0,709.0,1599.09,619.82,1624.29,621.74,1601.51,638.42,1601.31,655.21,1621.17,656.14,45.07183837890625,-4.391029357910156,-0.7390289306640625,0.0
57.0,3.0,1540.0,535.0,1708.0,709.0,1598.33,620.26,1622.86,621.86,1600.32,638.55,1600.93,655.23,1620.35,655.9,42.83352661132813,-3.9681396484375,-1.8719635009765625,0.0
58.0,3.0,1539.0,535.0,1707.0,709.0,1597.23,620.5,1622.33,622.36,1599.59,638.88,1599.7,655.3,1619.53,656.21,41.8446044921875,-3.0496597290039062,-1.3895416259765625,0.0
59.0,2.0,1538.0,535.0,1707.0,709.0,1596.61,620.69,1622.07,622.39,1599.18,638.77,1598.95,655.36,1619.06,656.19,43.86148071289063,-2.7446823120117188,0.18752288818359367,0.0
60.0,2.0,1537.0,535.0,1706.0,709.0,1595.48,620.4,1621.35,622.6,1598.3,638.68,1597.27,654.79,1618.46,656.07,39.41534423828125,-2.773544311523437,2.0353775024414062,0.0
61.0,2.0,1536.0,536.0,1705.0,709.0,1595.05,619.87,1621.03,622.76,1597.72,638.46,1596.12,654.38,1617.31,656.24,36.255126953125,-1.1992645263671875,4.909034729003906,0.0
62.0,2.0,1536.0,535.0,1704.0,709.0,1594.54,619.62,1620.23,622.55,1597.07,638.09,1595.41,654.04,1616.58,655.94,35.39691162109375,-1.356658935546875,5.9098663330078125,0.0
63.0,2.0,1536.0,535.0,1703.0,709.0,1593.97,619.89,1619.08,622.47,1596.15,638.09,1595.24,654.29,1615.8,655.88,33.152496337890625,-1.2715606689453125,6.4808197021484375,0.0
64.0,3.0,1535.0,536.0,1703.0,708.0,1593.59,620.01,1618.79,622.68,1595.81,638.3,1594.95,654.2,1615.55,655.87,32.75347900390625,-0.107940673828125,6.333160400390625,0.0
65.0,5.0,1535.0,536.0,1703.0,708.0,1593.16,620.4,1618.27,622.92,1595.47,638.32,1594.46,654.15,1615.21,655.71,34.422576904296875,-0.28855133056640625,6.289054870605469,0.0
66.0,6.0,1535.0,536.0,1702.0,708.0,1592.81,621.02,1618.02,623.51,1595.36,638.99,1594.48,654.54,1615.15,656.09,34.855224609375,0.2336654663085937,6.7264556884765625,0.0
67.0,6.0,1535.0,536.0,1702.0,709.0,1592.48,621.67,1617.5,624.16,1594.92,639.68,1594.28,655.11,1614.84,656.64,35.948394775390625,-0.4813079833984375,5.5492095947265625,0.0
68.0,6.0,1534.0,537.0,1701.0,709.0,1592.06,622.08,1617.53,624.66,1594.98,640.33,1593.84,655.44,1614.84,657.07,34.798309326171875,0.411041259765625,4.844810485839844,0.0
69.0,7.0,1534.0,537.0,1701.0,709.0,1592.0,622.39,1616.99,625.01,1594.58,640.42,1593.73,655.61,1614.25,657.25,36.00599670410156,0.9749221801757812,5.3229522705078125,0.0
70.0,6.0,1534.0,537.0,1701.0,709.0,1591.99,622.38,1617.08,624.82,1594.61,640.2,1593.64,655.72,1614.11,657.23,36.89358520507813,0.3029937744140625,4.902847290039063,0.0
71.0,8.0,1534.0,537.0,1701.0,709.0,1592.13,622.32,1617.19,624.88,1594.72,640.28,1593.58,655.65,1614.24,657.24,36.87179565429688,-0.3933792114257813,4.964508056640625,0.0
288.0,7.0,1551.0,539.0,1720.0,709.0,1609.97,623.0,1638.98,626.28,1616.34,643.08,1610.91,657.01,1633.46,659.11,35.344940185546875,-18.55894470214844,-3.716018676757813,1.0
289.0,6.0,1553.0,538.0,1722.0,707.0,1611.33,623.62,1639.71,626.15,1617.59,643.27,1614.04,656.58,1635.69,657.88,34.58749389648437,-17.24359130859375,-5.161979675292969,1.0
290.0,5.0,1555.0,538.0,1723.0,707.0,1612.59,623.76,1640.7,625.87,1618.94,643.35,1616.01,656.39,1637.54,657.33,32.697784423828125,-17.013687133789062,-6.4643096923828125,1.0
291.0,4.0,1556.0,537.0,1724.0,707.0,1613.98,623.45,1642.02,625.9,1620.22,643.05,1617.2,655.88,1638.68,657.09,31.84454345703125,-15.896133422851562,-6.514175415039063,1.0
292.0,5.0,1557.0,537.0,1725.0,706.0,1615.3,622.9,1642.8,625.89,1621.32,642.77,1618.56,655.16,1639.75,656.75,29.02520751953125,-15.456382751464846,-5.5201416015625,1.0
293.0,5.0,1557.0,536.0,1725.0,706.0,1616.12,621.95,1642.86,625.29,1621.38,641.8,1618.89,654.65,1639.27,656.53,32.304122924804695,-15.64458465576172,-5.701995849609375,1.0
294.0,4.0,1557.0,535.0,1725.0,706.0,1616.63,621.2,1643.08,624.98,1621.55,641.26,1618.88,653.87,1639.36,656.08,30.15585327148437,-14.075065612792967,-4.109291076660156,1.0
295.0,4.0,1557.0,535.0,1725.0,706.0,1616.59,621.28,1643.18,625.13,1621.55,641.42,1618.8,654.04,1639.31,656.31,29.408950805664066,-15.840911865234375,-4.065231323242188,1.0
296.0,5.0,1558.0,535.0,1725.0,706.0,1616.65,621.31,1643.03,624.92,1621.47,641.23,1618.97,654.13,1639.25,656.21,27.53887939453125,-16.566558837890625,-3.044281005859375,1.0
297.0,5.0,1558.0,535.0,1726.0,706.0,1616.92,621.42,1642.97,625.1,1621.45,641.34,1619.32,654.39,1639.06,656.51,30.39630126953125,-18.509010314941406,-3.727981567382813,1.0
298.0,4.0,1556.0,535.0,1725.0,706.0,1614.67,621.44,1642.51,624.54,1621.14,641.25,1617.55,654.24,1639.42,656.4,34.7855224609375,-16.7476806640625,-5.74444580078125,1.0
299.0,3.0,1556.0,535.0,1725.0,706.0,1614.66,621.38,1642.49,624.6,1621.07,641.33,1617.55,654.23,1639.45,656.46,35.217041015625,-16.50341796875,-5.9752197265625,1.0
300.0,1.0,1556.0,535.0,1726.0,706.0,1614.55,621.24,1642.46,624.36,1621.04,641.13,1617.5,654.16,1639.44,656.32,35.186767578125,-15.970474243164062,-6.43701171875,1.0
301.0,1.0,1556.0,535.0,1725.0,706.0,1614.68,621.27,1642.44,624.41,1621.05,641.17,1617.58,654.27,1639.32,656.45,35.8648681640625,-16.153327941894528,-6.059860229492188,1.0
302.0,1.0,1556.0,535.0,1725.0,706.0,1614.73,621.19,1642.32,624.33,1620.94,641.02,1617.57,654.24,1639.14,656.41,35.36248779296875,-16.300987243652347,-5.999237060546875,1.0
303.0,1.0,1556.0,535.0,1726.0,706.0,1614.95,621.53,1642.53,624.57,1621.17,641.37,1617.82,654.56,1639.44,656.64,34.62362670898437,-16.225738525390625,-4.859710693359375,1.0
304.0,2.0,1557.0,535.0,1726.0,706.0,1615.25,621.67,1642.73,624.81,1621.35,641.59,1618.27,654.5,1639.71,656.65,33.969696044921875,-15.532684326171875,-4.704010009765625,1.0
305.0,3.0,1557.0,535.0,1726.0,706.0,1615.54,621.88,1642.76,624.93,1621.48,641.69,1618.76,654.82,1639.81,656.87,31.486328125,-14.475341796875,-5.012779235839844,1.0
306.0,4.0,1557.0,535.0,1727.0,706.0,1615.57,622.03,1642.8,624.98,1621.51,641.8,1619.03,654.89,1640.06,656.85,31.79962158203125,-14.06781768798828,-3.61968994140625,1.0
307.0,4.0,1557.0,535.0,1727.0,706.0,1615.91,621.83,1643.52,624.81,1622.17,641.65,1619.17,654.71,1640.53,656.73,32.67291259765625,-13.319923400878904,-3.1128692626953125,1.0
308.0,4.0,1558.0,535.0,1727.0,706.0,1616.27,621.77,1643.73,624.75,1622.38,641.63,1619.61,654.74,1640.84,656.74,36.22322082519531,-14.942947387695312,-4.046966552734375,1.0
309.0,3.0,1558.0,535.0,1727.0,706.0,1616.61,621.5,1644.25,624.48,1623.03,641.43,1619.89,654.48,1641.3,656.5,34.883575439453125,-15.675399780273438,-3.305450439453125,1.0
310.0,3.0,1558.0,535.0,1727.0,706.0,1616.63,621.59,1644.39,624.55,1623.16,641.57,1619.98,654.54,1641.48,656.56,34.451141357421875,-15.39179229736328,-3.2166748046875,1.0
311.0,2.0,1558.0,535.0,1728.0,706.0,1616.43,621.61,1644.3,624.58,1622.99,641.62,1619.9,654.53,1641.49,656.54,35.03094482421875,-14.84539794921875,-4.3382720947265625,1.0
528.0,1.0,1564.0,545.0,1734.0,715.0,1622.25,635.4,1648.27,635.14,1629.89,654.98,1633.72,667.98,1652.47,667.17,38.26626586914063,-21.66011047363281,-15.593017578125,1.0
529.0,1.0,1563.0,545.0,1735.0,715.0,1621.85,635.35,1648.22,635.01,1629.63,654.88,1633.23,668.16,1652.18,667.32,38.78837585449219,-22.5921630859375,-15.53656005859375,1.0
530.0,1.0,1563.0,546.0,1734.0,715.0,1621.82,635.67,1648.34,635.08,1630.01,655.12,1633.46,668.27,1652.65,667.23,38.12161254882813,-21.98572540283203,-15.61248016357422,1.0
531.0,1.0,1562.0,546.0,1734.0,715.0,1621.21,635.4,1648.8,634.95,1629.98,655.12,1632.23,668.13,1652.49,667.23,38.02468872070313,-20.96582794189453,-14.530685424804688,1.0
532.0,1.0,1561.0,547.0,1734.0,716.0,1620.92,634.3,1648.62,634.17,1630.1,654.09,1630.9,668.11,1651.33,667.49,37.51565551757813,-25.05171203613281,-16.985107421875,1.0
533.0,0.0,1561.0,546.0,1734.0,715.0,1620.74,634.5,1648.57,633.94,1630.33,653.93,1630.98,668.12,1651.27,667.2,35.958648681640625,-24.05704498291016,-16.654426574707028,1.0
534.0,0.0,1561.0,546.0,1733.0,716.0,1620.66,634.31,1648.32,633.86,1630.13,654.01,1630.85,668.15,1651.07,667.31,37.942779541015625,-26.77900695800781,-18.758758544921875,1.0
535.0,0.0,1561.0,545.0,1733.0,715.0,1620.55,635.1,1647.91,634.21,1629.64,654.49,1631.92,667.75,1651.62,666.58,38.39407348632813,-27.30697631835937,-18.37415313720703,1.0
536.0,1.0,1561.0,546.0,1733.0,715.0,1620.44,634.23,1648.03,633.7,1629.84,653.75,1630.71,667.93,1650.82,667.02,38.60202026367188,-27.07551574707031,-19.36410522460937,1.0
537.0,1.0,1560.0,545.0,1733.0,715.0,1620.4,633.89,1648.18,633.24,1630.04,653.24,1630.64,667.39,1650.8,666.41,38.95744323730469,-28.32891845703125,-20.157005310058594,1.0
538.0,1.0,1560.0,546.0,1733.0,715.0,1620.62,634.14,1648.34,633.09,1630.54,653.1,1630.93,667.56,1651.03,666.29,38.52227783203125,-27.99888610839844,-20.711265563964844,1.0
539.0,2.0,1561.0,546.0,1733.0,714.0,1620.96,634.14,1648.69,632.94,1631.06,652.88,1631.35,667.32,1651.37,665.95,38.139068603515625,-27.54475402832031,-19.93524169921875,1.0
540.0,0.0,1560.0,546.0,1733.0,715.0,1620.19,633.65,1648.17,632.43,1630.27,652.76,1630.76,667.35,1651.1,665.93,38.86602783203125,-27.20490264892578,-22.21430206298828,1.0
541.0,1.0,1560.0,545.0,1733.0,714.0,1620.32,633.49,1648.25,632.19,1630.48,652.51,1631.07,667.21,1651.18,665.72,39.64602661132813,-26.65390014648437,-21.454200744628906,1.0
542.0,1.0,1560.0,545.0,1733.0,714.0,1620.47,633.27,1648.32,631.83,1630.73,652.13,1631.28,666.75,1651.27,665.16,39.97076416015625,-26.10780334472656,-21.41321563720703,1.0
543.0,0.0,1561.0,544.0,1733.0,713.0,1620.77,633.81,1648.86,632.12,1630.93,652.57,1632.74,666.54,1652.64,664.8,38.824066162109375,-24.72727203369141,-20.257102966308594,1.0
544.0,1.0,1562.0,544.0,1734.0,712.0,1621.78,633.42,1649.99,631.68,1632.27,652.02,1633.63,666.06,1653.45,664.34,37.4901123046875,-23.416961669921875,-19.77478790283203,1.0
545.0,1.0,1563.0,544.0,1735.0,712.0,1623.1,633.43,1651.24,631.69,1633.61,651.96,1634.99,665.92,1654.82,664.17,33.42474365234375,-22.05091857910156,-18.87195587158203,1.0
546.0,0.0,1564.0,544.0,1735.0,712.0,1624.47,632.82,1653.65,631.88,1635.54,651.86,1635.4,665.32,1656.47,664.18,29.749420166015625,-21.152000427246094,-15.361175537109375,1.0
547.0,2.0,1566.0,543.0,1737.0,713.0,1626.8,632.72,1655.86,632.03,1638.09,652.39,1637.32,665.46,1658.65,664.5,27.27569580078125,-17.548439025878903,-14.353836059570312,1.0
548.0,2.0,1568.0,545.0,1738.0,714.0,1628.39,632.31,1656.62,631.54,1638.97,652.66,1637.63,666.46,1658.91,665.49,27.03961944580078,-14.944450378417967,-13.0753173828125,1.0
549.0,2.0,1568.0,545.0,1739.0,714.0,1629.41,633.06,1657.81,632.24,1640.3,653.5,1638.76,667.1,1660.17,666.11,24.68003845214844,-13.819625854492188,-10.78900146484375,1.0
550.0,3.0,1569.0,545.0,1740.0,715.0,1630.55,633.92,1659.37,633.42,1641.74,654.92,1639.63,667.81,1661.63,667.07,23.456886291503906,-14.747970581054688,-8.461189270019531,1.0
551.0,5.0,1571.0,546.0,1741.0,717.0,1632.32,634.65,1662.88,634.76,1644.02,656.14,1638.51,668.25,1662.47,667.87,20.27845764160156,-17.084846496582028,-8.49346923828125,1.0
768.0,3.0,1606.0,536.0,1777.0,708.0,1685.4,625.16,1716.03,625.92,1704.75,645.63,1685.94,656.99,1710.22,658.06,-14.72309112548828,-14.67327880859375,8.789459228515625,2.0
769.0,4.0,1605.0,539.0,1775.0,709.0,1685.54,626.32,1715.21,626.06,1704.42,645.44,1685.34,658.93,1707.96,658.97,-15.434486389160154,-12.007965087890625,8.466629028320312,2.0
770.0,2.0,1605.0,539.0,1775.0,709.0,1685.2,626.53,1715.12,626.13,1704.16,645.64,1685.05,659.06,1707.91,659.0,-16.648818969726562,-12.4176025390625,8.272857666015625,2.0
