yaw pitch roll label
36.274918 -5.874115 -4.749695 0
36.366821 -4.98407 -4.477776 0
35.591415 -5.237656 -4.196724 0
36.249847 -6.67244 -4.352615 0
36.657639 -9.573898 -7.185989 0
36.220444 -8.509796 -5.854095 0
36.081696 -7.597084 -5.460693 0
46.123917 -19.82756 -22.848251 0
46.168442 -19.621956 -22.741547 0
46.840591 -19.565773 -22.652725 0
47.02243 -19.680801 -22.738602 0
46.977417 -19.977364 -22.769508 0
46.74054 -19.548683 -22.483627 0
47.084839 -19.489365 -22.505257 0
46.071854 -14.501099 -19.625038 0
46.986908 -17.738335 -20.695892 0
46.017029 -14.131798 -17.918304 0
46.070892 -18.70726 -20.759781 0
45.040131 -16.5961 -19.221115 0
29.187622 2.65947 7.534286 0
28.059105 -0.037788 5.621536 0
26.021347 -4.913071 5.202515 0
34.00145 -4.391693 -5.729759 0
32.909576 -4.620506 -6.800842 0
33.037521 -5.586395 -5.951492 0
31.545258 -6.934105 -6.482346 0
30.770462 -8.000458 -7.511658 0
31.542389 -8.153275 -8.845665 0
31.048325 -7.380867 -9.295151 0
30.554245 -7.810936 -10.384537 0
30.355591 -7.409843 -10.220619 0
24.1157 -5.307404 2.998047 0
24.452293 -5.694969 2.716217 0
24.231148 -5.98101 2.540565 0
24.534775 -5.820999 2.721802 0
24.199707 -5.961639 2.593933 0
22.483246 -2.474991 5.465515 0
22.400879 -2.217499 5.432556 0
87.713409 -28.983292 -31.495728 3
87.788055 -29.826881 -32.777786 3
87.807373 -29.868683 -33.030525 3
87.782349 -32.311966 -34.568886 3
87.813034 -30.203316 -33.12738 3
87.883255 -30.604736 -34.132103 3
87.849426 -31.772812 -35.071594 3
87.838684 -31.630341 -34.979897 3
87.838562 -31.612213 -35.037735 3
87.846451 -31.745781 -35.267761 3
87.858902 -31.979034 -35.427898 3
87.845551 -32.901276 -36.239891 3
87.860046 -32.762909 -36.264946 3
87.850494 -32.143547 -35.964928 3
87.901566 -32.330688 -35.749924 3
87.887375 -31.687698 -35.68338 3
87.894897 -31.458054 -35.413937 3
87.904114 -31.084564 -35.014263 3
87.922729 -30.156342 -34.205887 3
87.928085 -30.382118 -34.557747 3
87.934998 -30.08313 -34.328011 3
87.945343 -29.676437 -34.038231 3
87.939606 -29.97686 -34.297775 3
87.938339 -29.350052 -33.80098 3
87.93808 -29.610321 -34.262421 3
87.942108 -28.906677 -33.850998 3
87.939819 -29.086868 -33.907188 3
87.939743 -28.489052 -33.255539 3
87.93631 -28.034615 -32.894783 3
87.946503 -29.147888 -33.965836 3
87.945251 -29.143509 -33.974747 3
87.951202 -29.173248 -34.044312 3
87.942764 -28.096344 -33.087494 3
87.946732 -29.429527 -34.254494 3
87.947998 -29.246399 -34.303185 3
87.946091 -28.567566 -33.530212 3
87.946457 -28.187386 -32.983231 3
87.954407 -28.280914 -33.294357 3
87.953201 -27.855431 -32.915154 3
87.954483 -27.370224 -32.49231 3
87.963364 -27.57737 -32.755997 3
87.9608 -27.790878 -32.911522 3
87.96489 -27.756653 -33.030418 3
87.963516 -27.288086 -32.661362 3
87.964081 -27.304031 -32.676849 3
87.964401 -27.314606 -32.754791 3
87.965195 -27.463661 -32.881577 3
87.961853 -27.414505 -32.760376 3
87.962402 -27.396423 -32.766075 3
87.963882 -27.254021 -32.715805 3
87.966522 -27.550896 -33.049652 3
87.966629 -27.258186 -32.811462 3
87.966675 -27.194778 -32.786789 3
87.966522 -26.626587 -32.368446 3
87.876297 -29.594955 -34.780396 3
87.876328 -29.595413 -34.78067 3
87.87207 -29.530014 -34.747116 3
87.877167 -29.522522 -34.729439 3
87.871552 -29.531265 -34.724968 3
87.88269 -29.00148 -34.315887 3
87.892776 -29.893173 -35.215469 3
87.874115 -30.731567 -36.491646 3
87.84314 -30.897217 -36.306644 3
87.846939 -30.882751 -36.190887 3
