frame_num,face_id,x_min,y_min,x_max,y_max,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,yaw,pitch,roll
0,4.0,2460.0,699.0,2644.0,901.0,2519.67,796.83,2547.62,803.37,2517.72,821.34,2519.68,842.74,2539.03,846.63,51.60188293457031,-3.7755279541015625,6.4584808349609375
1,4.0,2459.0,699.0,2644.0,902.0,2519.41,796.81,2547.41,803.47,2517.44,821.33,2519.32,842.79,2538.64,846.76,52.04367065429688,-4.535316467285156,5.77447509765625
2,4.0,2459.0,698.0,2644.0,901.0,2519.52,796.86,2547.11,803.41,2517.3,821.17,2519.42,842.8,2538.32,846.67,51.41572570800781,-5.269889831542969,5.35430908203125
3,4.0,2459.0,698.0,2644.0,901.0,2518.77,796.21,2546.79,802.87,2516.75,820.8,2518.7,842.31,2538.16,846.25,51.13967895507813,-5.450950622558594,5.383140563964844
4,5.0,2458.0,698.0,2644.0,901.0,2518.21,795.95,2546.74,802.2,2516.66,820.16,2518.28,841.83,2538.21,845.48,51.30328369140625,-6.11248779296875,4.1944122314453125
5,5.0,2458.0,698.0,2644.0,900.0,2518.54,795.49,2546.84,801.87,2516.76,819.56,2518.3,841.22,2537.97,844.97,51.37277221679688,-5.530517578125,4.437057495117188
6,5.0,2458.0,698.0,2644.0,900.0,2518.66,795.25,2546.86,801.66,2516.56,819.19,2518.12,840.95,2537.65,844.72,52.14932250976562,-5.59088134765625,4.270774841308594
7,5.0,2459.0,698.0,2644.0,899.0,2519.11,795.0,2546.8,801.77,2516.47,819.05,2518.24,840.79,2537.15,844.81,52.12794494628906,-4.619171142578125,5.41485595703125
8,5.0,2458.0,695.0,2645.0,900.0,2518.97,796.1,2544.74,801.59,2515.93,819.21,2519.2,840.47,2538.1,843.43,51.60694885253906,-4.477310180664063,5.047332763671875
9,5.0,2458.0,695.0,2645.0,899.0,2518.95,796.12,2544.78,801.54,2516.0,819.15,2519.31,840.48,2538.12,843.38,51.533203125,-4.4019775390625,5.241600036621094
10,5.0,2458.0,695.0,2645.0,900.0,2518.93,796.05,2544.86,801.6,2516.01,819.21,2519.15,840.46,2538.08,843.47,51.53569030761719,-4.474517822265625,5.166351318359375
11,5.0,2458.0,695.0,2645.0,899.0,2518.86,796.03,2544.9,801.57,2516.03,819.18,2519.14,840.39,2538.13,843.4,51.55062866210938,-4.386116027832031,5.301841735839844
12,5.0,2458.0,695.0,2645.0,900.0,2519.0,796.11,2544.87,801.57,2516.05,819.19,2519.25,840.54,2538.17,843.47,51.51925659179688,-4.479827880859375,5.165771484375
13,5.0,2458.0,695.0,2645.0,899.0,2518.97,796.07,2544.89,801.52,2516.08,819.16,2519.24,840.48,2538.16,843.41,51.49887084960938,-4.427505493164063,5.26239013671875
14,5.0,2458.0,695.0,2645.0,899.0,2518.95,796.1,2544.92,801.54,2516.12,819.17,2519.25,840.45,2538.22,843.38,51.5216064453125,-4.379814147949219,5.302047729492188
