frame_num,face_id,x_min,y_min,x_max,y_max,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,yaw,pitch,roll
0,3.0,1538.0,555.0,1710.0,727.0,1600.54,642.97,1630.45,643.57,1611.9,664.22,1606.31,675.23,1631.01,675.45,17.907142639160156,-26.09736633300781,-2.4127120971679688
1,5.0,1540.0,556.0,1711.0,727.0,1604.01,642.83,1634.72,643.13,1616.6,663.73,1608.78,674.57,1634.7,674.67,15.048110961914062,-22.68761444091797,0.696685791015625
2,7.0,1543.0,554.0,1713.0,726.0,1607.54,642.18,1638.32,641.17,1621.43,662.37,1613.09,673.55,1639.53,672.63,11.450660705566404,-19.83148956298828,-0.5467758178710938
3,7.0,1545.0,553.0,1715.0,724.0,1613.83,640.4,1645.77,639.28,1630.04,661.27,1617.81,672.86,1644.85,671.98,0.302947998046875,-19.649253845214844,1.21112060546875
4,4.0,1551.0,549.0,1722.0,723.0,1622.21,640.66,1654.56,639.25,1639.71,659.85,1625.0,671.59,1652.99,670.42,-1.563751220703125,-16.983505249023438,5.208183288574219
5,4.0,1554.0,549.0,1725.0,722.0,1628.19,639.96,1660.65,638.78,1646.65,659.13,1631.12,671.37,1657.98,670.46,-5.30889892578125,-15.96942901611328,2.477989196777344
6,4.0,1556.0,552.0,1728.0,721.0,1633.26,637.06,1665.65,636.47,1652.93,656.47,1635.13,669.93,1661.82,669.58,-19.119529724121094,-19.028854370117188,4.732704162597656
7,4.0,1560.0,553.0,1729.0,722.0,1638.02,638.44,1668.48,638.3,1657.7,657.23,1639.21,669.2,1665.13,669.46,-27.083946228027344,-15.755233764648438,6.2459259033203125
8,4.0,1560.0,553.0,1729.0,722.0,1638.04,638.44,1668.49,638.31,1657.73,657.23,1639.22,669.18,1665.14,669.46,-27.06480407714844,-15.77288818359375,6.2451934814453125
9,4.0,1559.0,553.0,1729.0,722.0,1638.04,638.46,1668.49,638.36,1657.75,657.23,1639.23,669.22,1665.11,669.52,-26.628677368164066,-15.658798217773438,6.0824737548828125
10,4.0,1560.0,553.0,1729.0,722.0,1638.02,638.44,1668.48,638.34,1657.7,657.24,1639.18,669.22,1665.12,669.52,-27.07221221923828,-15.750152587890625,6.21826171875
11,4.0,1559.0,553.0,1729.0,722.0,1638.03,638.44,1668.46,638.35,1657.7,657.21,1639.2,669.18,1665.08,669.48,-26.60407257080078,-15.713981628417967,6.116943359375
12,4.0,1560.0,553.0,1729.0,722.0,1638.02,638.45,1668.49,638.32,1657.72,657.24,1639.2,669.22,1665.16,669.49,-27.07977294921875,-15.765708923339846,6.242362976074219
13,4.0,1560.0,553.0,1729.0,722.0,1638.04,638.43,1668.48,638.33,1657.71,657.22,1639.19,669.19,1665.11,669.49,-27.06127166748047,-15.740089416503904,6.2470855712890625
14,4.0,1560.0,553.0,1729.0,722.0,1638.01,638.45,1668.47,638.31,1657.7,657.23,1639.2,669.21,1665.12,669.47,-27.068634033203125,-15.744857788085938,6.227806091308594
15,4.0,1560.0,553.0,1729.0,722.0,1638.02,638.44,1668.49,638.34,1657.7,657.23,1639.19,669.21,1665.12,669.5,-27.11067199707031,-15.735397338867188,6.239524841308594
16,4.0,1560.0,553.0,1729.0,722.0,1638.0,638.46,1668.49,638.32,1657.71,657.24,1639.19,669.23,1665.16,669.49,-27.081825256347656,-15.765182495117188,6.2427825927734375
17,4.0,1560.0,553.0,1729.0,722.0,1638.01,638.46,1668.49,638.32,1657.7,657.24,1639.19,669.22,1665.15,669.49,-27.07220458984375,-15.770401000976562,6.2466278076171875
18,4.0,1560.0,553.0,1729.0,722.0,1638.0,638.46,1668.49,638.31,1657.69,657.24,1639.19,669.23,1665.15,669.49,-27.0657958984375,-15.771209716796875,6.245796203613281
19,4.0,1560.0,553.0,1729.0,722.0,1638.01,638.46,1668.49,638.32,1657.71,657.24,1639.19,669.23,1665.15,669.5,-27.07261657714844,-15.771224975585938,6.245941162109375
20,4.0,1560.0,553.0,1729.0,722.0,1638.01,638.46,1668.49,638.32,1657.71,657.24,1639.19,669.22,1665.16,669.49,-27.081825256347656,-15.765182495117188,6.2427825927734375
21,4.0,1560.0,553.0,1729.0,722.0,1637.99,638.49,1668.44,638.33,1657.7,657.25,1639.19,669.25,1665.14,669.5,-26.97401428222656,-15.81402587890625,6.2511444091796875
22,4.0,1560.0,553.0,1729.0,722.0,1638.0,638.46,1668.49,638.3,1657.72,657.23,1639.21,669.23,1665.18,669.47,-27.07312774658203,-15.803016662597654,6.2684173583984375
23,1.0,1558.0,555.0,1729.0,724.0,1634.36,639.83,1665.98,644.0,1651.03,661.19,1632.44,670.62,1658.41,674.25,-13.268928527832033,-20.83334350585937,13.104011535644533
24,2.0,1557.0,554.0,1728.0,724.0,1632.41,639.51,1664.38,643.35,1648.99,661.26,1631.06,670.97,1657.04,674.31,-10.73980712890625,-19.52108764648437,12.930999755859375
25,2.0,1557.0,554.0,1729.0,723.0,1630.2,636.9,1662.4,643.02,1643.96,660.34,1626.93,669.52,1653.53,674.46,-4.66424560546875,-20.949607849121094,13.508651733398438
26,2.0,1556.0,553.0,1729.0,724.0,1628.62,636.4,1661.0,643.2,1641.77,660.37,1625.05,669.12,1651.92,674.56,-4.460174560546875,-19.934234619140625,13.556686401367188
27,2.0,1555.0,552.0,1728.0,724.0,1626.3,635.66,1659.12,641.89,1639.5,659.64,1623.67,669.32,1650.85,674.28,-4.6647796630859375,-19.27977752685547,14.778335571289062
28,4.0,1555.0,552.0,1727.0,724.0,1624.8,635.03,1657.51,640.86,1637.67,659.01,1622.62,668.96,1649.88,673.58,-1.48345947265625,-21.11426544189453,15.82500457763672
29,4.0,1555.0,552.0,1727.0,723.0,1623.82,634.4,1656.5,640.42,1636.54,658.46,1621.46,668.18,1648.8,672.97,2.1922607421875,-20.919952392578125,15.227157592773438
30,4.0,1554.0,552.0,1726.0,723.0,1622.53,633.94,1655.33,639.85,1635.01,658.22,1620.51,667.85,1647.94,672.53,1.3974151611328125,-20.58435821533203,15.719650268554688
31,5.0,1554.0,551.0,1725.0,722.0,1621.61,633.28,1653.96,639.43,1633.69,657.15,1619.55,667.04,1646.52,671.9,2.431549072265625,-19.562599182128906,16.013320922851562
32,6.0,1553.0,551.0,1725.0,722.0,1621.08,632.68,1653.1,638.97,1632.9,656.54,1619.03,666.41,1645.71,671.37,1.940711975097656,-18.03167724609375,16.601142883300778
33,6.0,1553.0,549.0,1724.0,721.0,1620.74,633.22,1652.8,639.58,1632.43,656.34,1618.13,666.02,1645.52,670.99,3.8766860961914062,-16.986778259277347,14.78313446044922
34,6.0,1553.0,548.0,1724.0,719.0,1620.54,631.8,1652.54,638.66,1631.85,655.02,1617.86,664.52,1644.92,669.89,7.422203063964844,-14.271476745605467,13.02557373046875
35,6.0,1553.0,547.0,1724.0,718.0,1620.19,630.28,1652.44,637.36,1631.54,653.55,1617.47,663.19,1644.71,668.74,12.402191162109375,-13.121505737304688,11.243637084960938
36,5.0,1552.0,543.0,1723.0,716.0,1618.73,627.7,1651.55,635.44,1630.18,650.44,1616.37,661.23,1643.25,667.4,16.03253173828125,-11.5386962890625,9.122062683105467
37,4.0,1552.0,542.0,1723.0,716.0,1618.72,626.49,1651.55,634.72,1629.58,649.52,1615.85,660.13,1642.85,666.68,19.256759643554688,-9.866607666015623,8.174942016601562
38,2.0,1552.0,541.0,1724.0,716.0,1617.86,624.65,1650.6,633.33,1627.33,647.58,1614.48,658.97,1641.56,665.8,24.74887084960937,-9.373817443847656,7.107574462890625
